stock,variable,year,mean,sd,lower,upper,status
Engraulis anchoita,b_div_bmsy,2019,0.214584290780446,0.166179936595435,0.16140876477091,0.277550796924328,Overfished
Loligo gahi,b_div_bmsy,2019,0.87111592088503,0.289653342532272,0.533151900859258,1.37285094617804,Fully fished
Macruronus magellanicus,b_div_bmsy,2019,1.12299121055296,0.238647707227924,0.763713062728611,1.63794330298743,Fully fished
Merluccius hubbsi,b_div_bmsy,2019,0.973277472813333,0.191293817704798,0.71729742323599,1.31028334144162,Fully fished
Micromesistius australis,b_div_bmsy,2019,0.462009606640261,0.249190829637235,0.310725001246205,0.686860779983413,Overfished
Micropogonias furnieri,b_div_bmsy,2019,0.527719628692185,0.109425689583221,0.443528466218635,0.628427681272421,Overfished
Pleoticus muelleri,b_div_bmsy,2019,1.06909239908927,0.260628782945409,0.703539615761131,1.59008942925772,Fully fished
Sardinella brasiliensis,b_div_bmsy,2019,0.291202192385672,0.21587132340813,0.209563480901331,0.412362723030383,Overfished
