year,stock,capture,effort
1950,Illex argentinus,100,89236290.32
1950,Merluccius hubbsi,10100,89236290.32
1950,Micropogonias furnieri,25100,89236290.32
1950,Pleoticus muelleri,1000,89236290.32
1950,Sardinella brasiliensis,24000,89236290.32
1951,Illex argentinus,100,89169823.3
1951,Merluccius hubbsi,20600,89169823.3
1951,Micropogonias furnieri,24700,89169823.3
1951,Pleoticus muelleri,1900,89169823.3
1951,Sardinella brasiliensis,26000,89169823.3
1952,Illex argentinus,0,90933503.94
1952,Merluccius hubbsi,25500,90933503.94
1952,Micropogonias furnieri,24800,90933503.94
1952,Pleoticus muelleri,2600,90933503.94
1952,Sardinella brasiliensis,27000,90933503.94
1953,Illex argentinus,200,90876385.28
1953,Merluccius hubbsi,28200,90876385.28
1953,Micropogonias furnieri,23100,90876385.28
1953,Pleoticus muelleri,2600,90876385.28
1953,Sardinella brasiliensis,24000,90876385.28
1954,Illex argentinus,100,90771157.85
1954,Merluccius hubbsi,30100,90771157.85
1954,Micropogonias furnieri,22400,90771157.85
1954,Pleoticus muelleri,1200,90771157.85
1954,Sardinella brasiliensis,26000,90771157.85
1955,Illex argentinus,200,92464346.38
1955,Merluccius hubbsi,29100,92464346.38
1955,Micropogonias furnieri,27300,92464346.38
1955,Pleoticus muelleri,1000,92464346.38
1955,Sardinella brasiliensis,28000,92464346.38
1956,Illex argentinus,400,98220534.48
1956,Merluccius hubbsi,22900,98220534.48
1956,Micropogonias furnieri,33400,98220534.48
1956,Pleoticus muelleri,1900,98220534.48
1956,Sardinella brasiliensis,30000,98220534.48
1957,Illex argentinus,300,104623485.3
1957,Merluccius hubbsi,25800,104623485.3
1957,Micropogonias furnieri,34200,104623485.3
1957,Pleoticus muelleri,1200,104623485.3
1957,Sardinella brasiliensis,32000,104623485.3
1958,Illex argentinus,400,102912538.4
1958,Merluccius hubbsi,25900,102912538.4
1958,Micropogonias furnieri,32600,102912538.4
1958,Pleoticus muelleri,1200,102912538.4
1958,Sardinella brasiliensis,32000,102912538.4
1959,Illex argentinus,400,114871696.4
1959,Merluccius hubbsi,37300,114871696.4
1959,Micropogonias furnieri,34100,114871696.4
1959,Pleoticus muelleri,700,114871696.4
1959,Sardinella brasiliensis,33800,114871696.4
1960,Illex argentinus,800,122550042.3
1960,Merluccius hubbsi,42400,122550042.3
1960,Micropogonias furnieri,35400,122550042.3
1960,Pleoticus muelleri,400,122550042.3
1960,Sardinella brasiliensis,34900,122550042.3
1961,Illex argentinus,400,123863618
1961,Merluccius hubbsi,42500,123863618
1961,Micropogonias furnieri,28800,123863618
1961,Pleoticus muelleri,500,123863618
1961,Sardinella brasiliensis,34900,123863618
1962,Illex argentinus,700,131380061.8
1962,Merluccius hubbsi,61100,131380061.8
1962,Micropogonias furnieri,51300,131380061.8
1962,Pleoticus muelleri,400,131380061.8
1962,Sardinella brasiliensis,54500,131380061.8
1963,Illex argentinus,400,134886157.3
1963,Merluccius hubbsi,75200,134886157.3
1963,Micropogonias furnieri,40500,134886157.3
1963,Pleoticus muelleri,400,134886157.3
1963,Sardinella brasiliensis,50000,134886157.3
1964,Engraulis anchoita,17100,142278286.1
1964,Illex argentinus,500,142278286.1
1964,Loligo gahi,100,142278286.1
1964,Merluccius hubbsi,95700,142278286.1
1964,Micropogonias furnieri,40300,142278286.1
1964,Pleoticus muelleri,300,142278286.1
1964,Sardinella brasiliensis,47500,142278286.1
1965,Engraulis anchoita,16600,151428270.6
1965,Illex argentinus,600,151428270.6
1965,Loligo gahi,100,151428270.6
1965,Merluccius hubbsi,101700,151428270.6
1965,Micropogonias furnieri,35900,151428270.6
1965,Pleoticus muelleri,300,151428270.6
1965,Sardinella brasiliensis,65900,151428270.6
1966,Engraulis anchoita,11100,156633095.2
1966,Illex argentinus,1100,156633095.2
1966,Loligo gahi,200,156633095.2
1966,Merluccius hubbsi,146300,156633095.2
1966,Micropogonias furnieri,31900,156633095.2
1966,Pleoticus muelleri,400,156633095.2
1966,Sardinella brasiliensis,78500,156633095.2
1967,Engraulis anchoita,13400,157822009.6
1967,Illex argentinus,2400,157822009.6
1967,Loligo gahi,200,157822009.6
1967,Merluccius hubbsi,598800,157822009.6
1967,Micropogonias furnieri,36700,157822009.6
1967,Pleoticus muelleri,200,157822009.6
1967,Sardinella brasiliensis,88000,157822009.6
1968,Engraulis anchoita,32200,166629780.7
1968,Illex argentinus,3000,166629780.7
1968,Loligo gahi,200,166629780.7
1968,Merluccius hubbsi,184000,166629780.7
1968,Micropogonias furnieri,54900,166629780.7
1968,Pleoticus muelleri,300,166629780.7
1968,Sardinella brasiliensis,90900,166629780.7
1969,Engraulis anchoita,15500,143108741.7
1969,Illex argentinus,1000,143108741.7
1969,Loligo gahi,200,143108741.7
1969,Merluccius hubbsi,69600,143108741.7
1969,Micropogonias furnieri,43600,143108741.7
1969,Pleoticus muelleri,400,143108741.7
1969,Sardinella brasiliensis,110100,143108741.7
1970,Engraulis anchoita,13600,146743541.5
1970,Illex argentinus,1300,146743541.5
1970,Loligo gahi,200,146743541.5
1970,Merluccius hubbsi,108100,146743541.5
1970,Micropogonias furnieri,47300,146743541.5
1970,Pleoticus muelleri,200,146743541.5
1970,Sardinella brasiliensis,135400,146743541.5
1971,Engraulis anchoita,20500,152254139.1
1971,Illex argentinus,1800,152254139.1
1971,Loligo gahi,100,152254139.1
1971,Merluccius hubbsi,116400,152254139.1
1971,Micropogonias furnieri,55600,152254139.1
1971,Pleoticus muelleri,300,152254139.1
1971,Sardinella brasiliensis,161000,152254139.1
1972,Engraulis anchoita,41100,158936149.6
1972,Illex argentinus,1800,158936149.6
1972,Loligo gahi,100,158936149.6
1972,Merluccius hubbsi,139300,158936149.6
1972,Micropogonias furnieri,55000,158936149.6
1972,Pleoticus muelleri,200,158936149.6
1972,Sardinella brasiliensis,170700,158936149.6
1973,Engraulis anchoita,34300,153978225.2
1973,Illex argentinus,4100,153978225.2
1973,Loligo gahi,200,153978225.2
1973,Merluccius hubbsi,183700,153978225.2
1973,Micropogonias furnieri,63900,153978225.2
1973,Pleoticus muelleri,100,153978225.2
1973,Sardinella brasiliensis,228000,153978225.2
1974,Engraulis anchoita,30400,160476953
1974,Illex argentinus,5000,160476953
1974,Loligo gahi,200,160476953
1974,Merluccius hubbsi,172600,160476953
1974,Micropogonias furnieri,48267,160476953
1974,Pleoticus muelleri,100,160476953
1974,Sardinella brasiliensis,177089,160476953
1975,Engraulis anchoita,19162,167681521.1
1975,Illex argentinus,4652,167681521.1
1975,Loligo gahi,141,167681521.1
1975,Merluccius hubbsi,125646,167681521.1
1975,Micropogonias furnieri,64260,167681521.1
1975,Pleoticus muelleri,190,167681521.1
1975,Sardinella brasiliensis,136104,167681521.1
1976,Engraulis anchoita,20436,168713823.5
1976,Illex argentinus,8266,168713823.5
1976,Loligo gahi,128,168713823.5
1976,Merluccius hubbsi,225745,168713823.5
1976,Micropogonias furnieri,73329,168713823.5
1976,Pleoticus muelleri,151,168713823.5
1976,Sardinella brasiliensis,105276,168713823.5
1977,Engraulis anchoita,21817,198333225.9
1977,Illex argentinus,2530,198333225.9
1977,Loligo gahi,255,198333225.9
1977,Merluccius hubbsi,359149,198333225.9
1977,Micromesistius australis,2057,198333225.9
1977,Micropogonias furnieri,76299,198333225.9
1977,Pleoticus muelleri,125,198333225.9
1977,Sardinella brasiliensis,145576,198333225.9
1978,Engraulis anchoita,16172,183049256
1978,Illex argentinus,68767,183049256
1978,Loligo gahi,899,183049256
1978,Macruronus magellanicus,1881,183049256
1978,Merluccius hubbsi,416777,183049256
1978,Micromesistius australis,15835,183049256
1978,Micropogonias furnieri,93549,183049256
1978,Pleoticus muelleri,41,183049256
1978,Sardinella brasiliensis,144685,183049256
1979,Engraulis anchoita,19938,189657672.9
1979,Illex argentinus,103865,189657672.9
1979,Loligo gahi,908,189657672.9
1979,Macruronus magellanicus,5772,189657672.9
1979,Merluccius hubbsi,462039,189657672.9
1979,Micromesistius australis,38411,189657672.9
1979,Micropogonias furnieri,110716,189657672.9
1979,Pleoticus muelleri,4,189657672.9
1979,Sardinella brasiliensis,149542,189657672.9
1980,Engraulis anchoita,11420,194351022.1
1980,Illex argentinus,15975,194351022.1
1980,Loligo gahi,193,194351022.1
1980,Macruronus magellanicus,6642,194351022.1
1980,Merluccius hubbsi,354708,194351022.1
1980,Micromesistius australis,78011,194351022.1
1980,Micropogonias furnieri,80235,194351022.1
1980,Pleoticus muelleri,728,194351022.1
1980,Sardinella brasiliensis,146276,194351022.1
1981,Engraulis anchoita,14949,207822785.6
1981,Illex argentinus,33342,207822785.6
1981,Loligo gahi,201,207822785.6
1981,Macruronus magellanicus,2786,207822785.6
1981,Merluccius hubbsi,326521,207822785.6
1981,Micromesistius australis,69712,207822785.6
1981,Micropogonias furnieri,79088,207822785.6
1981,Pleoticus muelleri,2616,207822785.6
1981,Sardinella brasiliensis,111967,207822785.6
1982,Engraulis anchoita,10137,201096361.8
1982,Illex argentinus,79744,201096361.8
1982,Loligo gahi,262,201096361.8
1982,Macruronus magellanicus,3553,201096361.8
1982,Merluccius hubbsi,360338,201096361.8
1982,Micromesistius australis,137189,201096361.8
1982,Micropogonias furnieri,82505,201096361.8
1982,Pleoticus muelleri,7667,201096361.8
1982,Sardinella brasiliensis,98873,201096361.8
1983,Engraulis anchoita,27895,223092822.9
1983,Illex argentinus,56186,223092822.9
1983,Loligo gahi,16565,223092822.9
1983,Macruronus magellanicus,3976,223092822.9
1983,Merluccius hubbsi,347688,223092822.9
1983,Micromesistius australis,257919,223092822.9
1983,Micropogonias furnieri,84794,223092822.9
1983,Pleoticus muelleri,18975,223092822.9
1983,Sardinella brasiliensis,139377,223092822.9
1984,Engraulis anchoita,25956,283299329.2
1984,Illex argentinus,106091,283299329.2
1984,Loligo gahi,15531,283299329.2
1984,Macruronus magellanicus,5481,283299329.2
1984,Merluccius hubbsi,254851,283299329.2
1984,Micromesistius australis,113259,283299329.2
1984,Micropogonias furnieri,72343,283299329.2
1984,Pleoticus muelleri,22994,283299329.2
1984,Sardinella brasiliensis,137210,283299329.2
1985,Engraulis anchoita,12134,257125540.8
1985,Illex argentinus,204860,257125540.8
1985,Loligo gahi,12009,257125540.8
1985,Macruronus magellanicus,21072,257125540.8
1985,Merluccius hubbsi,376496,257125540.8
1985,Micromesistius australis,95202,257125540.8
1985,Micropogonias furnieri,57428,257125540.8
1985,Pleoticus muelleri,9835,257125540.8
1985,Sardinella brasiliensis,123961,257125540.8
1986,Engraulis anchoita,16108,264494847.7
1986,Illex argentinus,271348,264494847.7
1986,Loligo gahi,72154,264494847.7
1986,Macruronus magellanicus,40895,264494847.7
1986,Merluccius hubbsi,381245,264494847.7
1986,Micromesistius australis,103932,264494847.7
1986,Micropogonias furnieri,70123,264494847.7
1986,Pleoticus muelleri,6768,264494847.7
1986,Sardinella brasiliensis,126180,264494847.7
1987,Engraulis anchoita,20328,455031657.6
1987,Illex argentinus,524769,455031657.6
1987,Loligo gahi,139038,455031657.6
1987,Macruronus magellanicus,81291,455031657.6
1987,Merluccius hubbsi,428779,455031657.6
1987,Micromesistius australis,82892,455031657.6
